aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.1019,-0.0216,-0.1313,-24.9634,-31.9824,-70.0073,6.5063,-25.6958,-4.9561
0.0968,-0.4066,-0.0693,-26.9165,-42.2363,-69.5190,6.6772,-25.9033,-4.0405
0.1038,-0.5532,-0.0250,-28.3813,-51.5747,-66.3452,6.6772,-25.9033,-4.0405
0.0889,-0.6871,0.0161,-27.5879,-69.5190,-55.6641,6.6772,-25.9033,-4.0405
0.0948,-0.9958,0.1287,-22.9492,-78.4302,-48.6450,6.6772,-25.9033,-4.0405
0.0901,-1.1263,0.2729,-20.1416,-86.6089,-39.9780,5.4077,-26.6602,-3.4180
0.0789,-1.2747,0.4200,-12.5122,-98.8770,-18.6157,5.4077,-26.6602,-3.4180
0.0302,-1.4626,0.7068,-6.5918,-102.8442,-6.0425,5.4077,-26.6602,-3.4180
0.0027,-1.4939,0.8571,-1.2207,-105.6519,6.4697,5.4077,-26.6602,-3.4180
-0.0193,-1.4788,1.0526,6.2866,-107.1167,32.7759,5.4077,-26.6602,-3.4180
-0.0720,-1.3147,1.3903,6.6528,-105.1025,44.1284,4.5166,-27.3193,-5.0415
-0.1185,-1.3839,1.6458,7.0801,-101.8677,53.8330,4.5166,-27.3193,-5.0415
-0.1576,-1.4374,1.9395,7.3853,-87.7686,77.3315,4.5166,-27.3193,-5.0415
-0.2782,-1.3184,2.4591,8.2397,-76.7212,90.5762,4.5166,-27.3193,-5.0415
-0.3281,-1.0096,2.6558,7.5073,-62.9272,103.5156,2.7588,-28.8574,-6.4209
-0.3948,-0.6581,2.7178,4.2725,-30.5786,118.7744,2.7588,-28.8574,-6.4209
-0.4487,-0.1595,2.5757,8.8501,-14.8926,121.1548,2.7588,-28.8574,-6.4209
-0.4702,-0.0732,2.3925,12.2681,-1.3428,121.0938,2.7588,-28.8574,-6.4209
-0.5210,-0.0781,2.2722,11.4136,18.7378,120.7275,2.7588,-28.8574,-6.4209
-0.5281,0.2844,2.3763,5.9204,28.1372,120.8496,2.5146,-29.1748,-7.6050
-0.5580,0.4012,2.3732,3.9062,38.5132,118.5913,2.5146,-29.1748,-7.6050
-0.5778,0.5137,2.3854,7.0190,48.7061,115.3564,2.5146,-29.1748,-7.6050
-0.5781,0.7258,2.3071,12.2070,68.2373,107.9102,2.5146,-29.1748,-7.6050
-0.6028,1.1816,2.1544,9.7656,75.8667,100.7080,1.7334,-28.8208,-7.6416
